src_acsn,acsn
mean.IBIs_DIV12,CCTE_Shafer_MEA_dev_interburst_interval_mean_DIV12
nAE_DIV12,CCTE_Shafer_MEA_dev_active_electrodes_number_DIV12
nABE_DIV12,CCTE_Shafer_MEA_dev_bursting_electrodes_number_DIV12
ns.n_DIV12,CCTE_Shafer_MEA_dev_network_spike_number_DIV12
ns.peak.m_DIV12,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12
ns.durn.m_DIV12,CCTE_Shafer_MEA_dev_spike_duration_mean_DIV12
ns.percent.of.spikes.in.ns_DIV12,CCTE_Shafer_MEA_dev_per_network_spike_spike_percent_DIV12
ns.mean.insis_DIV12,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_DIV12
ns.durn.sd_DIV12,CCTE_Shafer_MEA_dev_network_spike_duration_std_DIV12
ns.mean.spikes.in.ns_DIV12,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12
r_DIV12,CCTE_Shafer_MEA_dev_correlation_coefficient_mean_DIV12
mi_DIV12,CCTE_Shafer_MEA_dev_mutual_information_norm_DIV12
AB,CCTE_Shafer_MEA_dev_AB
LDH,CCTE_Shafer_MEA_dev_LDH
